District,Rooms,Price,PriceInt
Karabağlar,1+1,8.000 TL,8000
Dikili,2+1,5.000 TL,5000
Foça,2+1,6.000 TL,6000
Seferihisar,2+1,4.000 TL,4000
Bornova,Stüdyo (1+0),9.750 TL,9750
Aliağa,3+1,9.000 TL,9000
Konak,Stüdyo (1+0),8.950 TL,8950
Buca,Stüdyo (1+0),8.000 TL,8000
Bornova,3+1,9.500 TL,9500
Buca,Stüdyo (1+0),8.000 TL,8000
Buca,Stüdyo (1+0),7.000 TL,7000
Çeşme,3+1,6.000 TL,6000
Ödemiş,Stüdyo (1+0),7.500 TL,7500
Buca,Stüdyo (1+0),1.750 TL,1750
Bayraklı,2+1,6.000 TL,6000
Çeşme,1+1,7.000 TL,7000
Bayraklı,2+1,8.500 TL,8500
Seferihisar,1+1,4.000 TL,4000
Karabağlar,Stüdyo (1+0),8.500 TL,8500
Bayraklı,1+1,8.000 TL,8000
Çeşme,3+1,8.000 TL,8000
Dikili,2+1,6.500 TL,6500
Dikili,4+1,5.000 TL,5000
Konak,Stüdyo (1+0),9.500 TL,9500
Ödemiş,1+1,8.500 TL,8500
Konak,Stüdyo (1+0),8.500 TL,8500
Dikili,4+1,3.000 TL,3000
Çeşme,1+1,5.000 TL,5000
Karabağlar,Stüdyo (1+0),9.500 TL,9500
Konak,Stüdyo (1+0),9.500 TL,9500
Bornova,2+1,9.000 TL,9000
Bornova,Stüdyo (1+0),9.500 TL,9500
Buca,Stüdyo (1+0),7.000 TL,7000
Aliağa,3+1,9.000 TL,9000
Seferihisar,2+1,3.000 TL,3000
Buca,Stüdyo (1+0),7.000 TL,7000
Çeşme,2+1,5.000 TL,5000
Bayraklı,1+1,8.500 TL,8500
Bornova,3+1,7.500 TL,7500
Çiğli,10 Üzeri,9.750 TL,9750
Tire,1+1,7.500 TL,7500
Bayraklı,3+1,7.000 TL,7000
Dikili,2+1,5.000 TL,5000
Buca,Stüdyo (1+0),8.000 TL,8000
Buca,Stüdyo (1+0),9.000 TL,9000
Çeşme,1+1,4.000 TL,4000
Çiğli,3+1,6.000 TL,6000
Tire,2+1,9.000 TL,9000
Bayraklı,2+1,8.500 TL,8500
Buca,1+1,9.000 TL,9000
Menderes,1+1,3.000 TL,3000
Dikili,5+1,8.500 TL,8500
Buca,1+1,9.000 TL,9000
Konak,Stüdyo (1+0),9.000 TL,9000
Bornova,3+1,7.500 TL,7500
Menemen,1+1,14.500 TL,14500
Menemen,1+1,13.750 TL,13750
Karabağlar,2+1,12.500 TL,12500
Buca,1+1,14.000 TL,14000
Menemen,1+1,13.500 TL,13500
Buca,1+1,13.000 TL,13000
Torbalı,1+1,13.000 TL,13000
Bayraklı,2+1,11.000 TL,11000
Tire,2+1,13.000 TL,13000
Buca,1+1,14.000 TL,14000
Menemen,1+1,13.000 TL,13000
Buca,1+1,14.500 TL,14500
Menemen,1+1,14.000 TL,14000
Bergama,Stüdyo (1+0),13.500 TL,13500
Karşıyaka,2+1,14.000 TL,14000
Menemen,1+1,14.500 TL,14500
Buca,1+1,13.000 TL,13000
Narlıdere,Stüdyo (1+0),14.500 TL,14500
Bayraklı,2+1,14.000 TL,14000
Bornova,Stüdyo (1+0),11.000 TL,11000
Buca,2+1,14.000 TL,14000
Kiraz,2+0,14.000 TL,14000
Karabağlar,3+1,14.000 TL,14000
Bayraklı,1+1,13.000 TL,13000
Bayraklı,2+1,12.000 TL,12000
Ödemiş,2+1,14.500 TL,14500
Buca,1+1,14.000 TL,14000
Menemen,2+1,14.000 TL,14000
Karabağlar,2+1,14.000 TL,14000
Menemen,1+1,13.500 TL,13500
Buca,2+1,13.000 TL,13000
Bayraklı,1+1,12.000 TL,12000
Buca,1+1,13.000 TL,13000
Buca,1+1,14.500 TL,14500
Karabağlar,2+1,13.000 TL,13000
Bayraklı,3+1,14.000 TL,14000
Bayraklı,2+1,14.000 TL,14000
Çiğli,2+1,14.000 TL,14000
Menemen,3+1,11.500 TL,11500
Konak,1+1,10.000 TL,10000
Menemen,1+1,14.000 TL,14000
Konak,2+0,13.000 TL,13000
Menemen,1+1,14.500 TL,14500
Menemen,1+1,14.000 TL,14000
Menemen,Stüdyo (1+0),13.000 TL,13000
Çiğli,Stüdyo (1+0),14.500 TL,14500
Çeşme,1+1,10.000 TL,10000
Menemen,1+1,14.000 TL,14000
Torbalı,1+1,14.500 TL,14500
Narlıdere,1+1,14.000 TL,14000
Buca,1+1,14.250 TL,14250
Buca,1+1,14.000 TL,14000
Ödemiş,3+1,14.500 TL,14500
Bornova,Stüdyo (1+0),12.000 TL,12000
Menemen,1+1,14.000 TL,14000
Karabağlar,2+1,12.500 TL,12500
Menemen,1+1,13.000 TL,13000
Menemen,1+1,12.000 TL,12000
Konak,Stüdyo (1+0),14.500 TL,14500
Buca,2+0,13.000 TL,13000
Bornova,2+1,13.499 TL,13499
Bayraklı,1+1,14.500 TL,14500
Bayraklı,1+1,13.000 TL,13000
Karabağlar,2+1,10.000 TL,10000
Torbalı,2+1,10.000 TL,10000
Ödemiş,2+1,13.000 TL,13000
Torbalı,3+1,14.000 TL,14000
Buca,2+0,13.000 TL,13000
Balçova,3+1,12.000 TL,12000
Bornova,3+1,14.000 TL,14000
Menemen,1+1,14.500 TL,14500
Menderes,4+1,12.000 TL,12000
Menemen,1+1,13.250 TL,13250
Menemen,1+1,13.000 TL,13000
Menemen,2+1,13.000 TL,13000
Buca,3+1,10.000 TL,10000
Bayraklı,2+1,13.000 TL,13000
Menemen,1+1,13.250 TL,13250
Menemen,1+1,13.000 TL,13000
Buca,1+1,14.999 TL,14999
Bayraklı,2+1,12.000 TL,12000
Karabağlar,3+1,13.000 TL,13000
Karabağlar,3+1,13.000 TL,13000
Bayraklı,1+1,12.500 TL,12500
Buca,1+1,14.500 TL,14500
Bayraklı,2+1,14.000 TL,14000
Ödemiş,1+1,13.000 TL,13000
Bayraklı,3+1,12.000 TL,12000
Kemalpaşa,2+1,12.000 TL,12000
Buca,1+1,14.000 TL,14000
Bayraklı,2+1,11.000 TL,11000
Tire,2+1,13.500 TL,13500
Menemen,1+1,14.000 TL,14000
Bornova,2+1,14.000 TL,14000
Ödemiş,2+1,14.000 TL,14000
Bayraklı,2+1,11.000 TL,11000
Menemen,1+1,14.000 TL,14000
Buca,2+1,14.000 TL,14000
Ödemiş,3+0,12.500 TL,12500
Buca,2+0,12.000 TL,12000
Buca,1+1,13.000 TL,13000
Torbalı,1+1,14.000 TL,14000
Ödemiş,3+1,13.000 TL,13000
Konak,2+1,13.000 TL,13000
Karabağlar,2+1,12.000 TL,12000
Urla,1+1,14.000 TL,14000
Tire,3+1,13.500 TL,13500
Ödemiş,3+1,13.000 TL,13000
Buca,1+1,13.000 TL,13000
Bornova,2+1,14.500 TL,14500
Karabağlar,2+1,13.000 TL,13000
Menemen,1+1,12.500 TL,12500
Bayındır,2+1,14.000 TL,14000
Konak,2+1,11.000 TL,11000
Buca,1+1,12.000 TL,12000
Buca,Stüdyo (1+0),11.500 TL,11500
Menemen,1+1,13.200 TL,13200
Konak,4+1,13.000 TL,13000
Buca,Stüdyo (1+0),14.000 TL,14000
Karabağlar,2+1,13.000 TL,13000
Bayraklı,2+1,14.000 TL,14000
Menemen,1+1,12.000 TL,12000
Bayraklı,2+1,10.000 TL,10000
Bornova,3+1,14.000 TL,14000
Çiğli,1+1,11.000 TL,11000
Menemen,1+1,14.500 TL,14500
Menemen,1+1,14.500 TL,14500
Konak,2+1,12.000 TL,12000
Menemen,1+1,13.000 TL,13000
Tire,2+1,12.000 TL,12000
Çiğli,1+1,14.000 TL,14000
Menemen,1+1,12.500 TL,12500
Bornova,3+1,11.000 TL,11000
Ödemiş,3+1,14.100 TL,14100
Menemen,1+1,14.000 TL,14000
Ödemiş,2+1,12.000 TL,12000
Konak,2+1,13.000 TL,13000
Çeşme,2+1,10.000 TL,10000
Tire,2+1,10.000 TL,10000
Buca,1+1,14.000 TL,14000
Karabağlar,2+1,14.500 TL,14500
Menemen,Stüdyo (1+0),13.500 TL,13500
Karabağlar,3+1,12.000 TL,12000
Selçuk,1+1,12.000 TL,12000
Buca,2+1,14.000 TL,14000
Menemen,1+1,14.500 TL,14500
Buca,Stüdyo (1+0),12.000 TL,12000
Karabağlar,2+1,14.500 TL,14500
Torbalı,3+1,14.500 TL,14500
Menemen,1+1,14.000 TL,14000
Buca,2+1,14.500 TL,14500
Karşıyaka,1+1,10.000 TL,10000
Konak,Stüdyo (1+0),14.000 TL,14000
Bergama,1+1,10.000 TL,10000
Menemen,1+1,12.000 TL,12000
Konak,3+1,11.000 TL,11000
Bornova,1+1,14.000 TL,14000
Karabağlar,Stüdyo (1+0),10.000 TL,10000
Karabağlar,1+1,14.000 TL,14000
Menemen,1+1,13.500 TL,13500
Menemen,1+1,13.000 TL,13000
Menemen,1+1,14.000 TL,14000
Buca,2+1,14.000 TL,14000
Menemen,1+1,14.500 TL,14500
Bornova,2+1,13.000 TL,13000
Buca,1+1,14.250 TL,14250
Ödemiş,1+1,13.000 TL,13000
Bornova,3+1,12.000 TL,12000
Buca,Stüdyo (1+0),13.000 TL,13000
Karabağlar,3+1,13.500 TL,13500
Buca,1+1,12.000 TL,12000
Buca,1+1,14.000 TL,14000
Bornova,3+1,12.000 TL,12000
Bornova,2+1,10.000 TL,10000
Karşıyaka,2+1,13.500 TL,13500
Menemen,1+1,14.950 TL,14950
Menemen,1+1,14.000 TL,14000
Menemen,1+1,12.000 TL,12000
Torbalı,3+1,14.250 TL,14250
Bayraklı,2+1,14.000 TL,14000
Gaziemir,2+1,13.000 TL,13000
Bornova,1+1,14.000 TL,14000
Bornova,1+1,12.500 TL,12500
Menemen,1+1,14.000 TL,14000
Buca,1+1,14.000 TL,14000
Karabağlar,2+1,12.000 TL,12000
Çeşme,3+1,13.000 TL,13000
Buca,1+1,12.000 TL,12000
Bayraklı,3+1,14.000 TL,14000
Bornova,2+1,11.000 TL,11000
Karabağlar,3+1,14.000 TL,14000
Çeşme,2+1,10.000 TL,10000
Menemen,1+1,14.000 TL,14000
Karabağlar,3+1,13.000 TL,13000
Konak,2+1,14.500 TL,14500
Seferihisar,2+1,13.500 TL,13500
Buca,1+1,11.000 TL,11000
Menemen,1+1,14.000 TL,14000
Menemen,1+1,13.000 TL,13000
Buca,2+1,14.000 TL,14000
Karşıyaka,1+1,13.000 TL,13000
Menemen,1+1,14.000 TL,14000
Selçuk,1+1,13.000 TL,13000
Bornova,Stüdyo (1+0),14.000 TL,14000
Buca,2+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Karabağlar,2+1,13.000 TL,13000
Konak,1+1,10.000 TL,10000
Buca,1+1,14.500 TL,14500
Menemen,1+1,13.500 TL,13500
Karabağlar,1+1,13.500 TL,13500
Menemen,,12.000 TL,12000
Menemen,1+1,14.500 TL,14500
Ödemiş,2+1,13.000 TL,13000
Ödemiş,2+1,13.000 TL,13000
Menemen,1+1,13.000 TL,13000
Ödemiş,2+1,12.000 TL,12000
Karabağlar,3+1,14.000 TL,14000
Karabağlar,1+1,13.000 TL,13000
Buca,2+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Menemen,1+1,11.900 TL,11900
Dikili,5+1,13.000 TL,13000
Menemen,1+1,14.000 TL,14000
Gaziemir,3+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Bayraklı,3+1,14.000 TL,14000
Buca,1+1,13.000 TL,13000
Dikili,4+1,10.000 TL,10000
Menemen,Stüdyo (1+0),13.500 TL,13500
Menemen,1+1,14.000 TL,14000
Menemen,1+1,13.750 TL,13750
Karabağlar,Stüdyo (1+0),13.000 TL,13000
Buca,2+1,14.000 TL,14000
Bergama,2+1,13.000 TL,13000
Menemen,1+1,14.000 TL,14000
Torbalı,2+0,14.000 TL,14000
Çiğli,1+1,14.000 TL,14000
Menemen,1+1,14.250 TL,14250
Menemen,1+1,13.500 TL,13500
Menemen,1+1,13.000 TL,13000
Buca,2+1,13.000 TL,13000
Bayraklı,2+1,10.000 TL,10000
Menemen,1+1,14.000 TL,14000
Buca,2+1,14.500 TL,14500
Bayraklı,2+1,12.500 TL,12500
Konak,Stüdyo (1+0),12.000 TL,12000
Buca,2+1,12.000 TL,12000
Karabağlar,2+1,11.000 TL,11000
Menemen,1+1,13.000 TL,13000
Buca,1+1,14.999 TL,14999
Menemen,1+1,13.000 TL,13000
Menemen,1+1,14.000 TL,14000
Karabağlar,2+1,14.000 TL,14000
Menemen,1+1,13.500 TL,13500
Karabağlar,1+1,11.000 TL,11000
Bornova,1+1,11.000 TL,11000
Buca,3+1,13.000 TL,13000
Menemen,2+1,10.500 TL,10500
Buca,2+1,14.000 TL,14000
Çiğli,1+1,14.000 TL,14000
Karabağlar,2+1,14.000 TL,14000
Ödemiş,2+1,10.000 TL,10000
Torbalı,2+1,14.000 TL,14000
Buca,1+1,13.000 TL,13000
Bayraklı,3+1,12.500 TL,12500
Menemen,1+1,14.000 TL,14000
Torbalı,1+1,13.000 TL,13000
Menemen,1+1,12.500 TL,12500
Konak,1+1,11.000 TL,11000
Selçuk,,10.000 TL,10000
Karabağlar,2+1,12.000 TL,12000
Menemen,1+1,14.000 TL,14000
Menemen,1+1,14.500 TL,14500
Menemen,1+1,14.000 TL,14000
Karabağlar,2+1,13.000 TL,13000
Menemen,1+1,12.000 TL,12000
Buca,1+1,14.500 TL,14500
Torbalı,1+1,14.000 TL,14000
Kiraz,2+1,14.000 TL,14000
Buca,1+1,14.000 TL,14000
Bayraklı,2+1,13.000 TL,13000
Bayraklı,2+1,13.000 TL,13000
Buca,1+1,10.000 TL,10000
Buca,2+1,14.500 TL,14500
Bornova,Stüdyo (1+0),12.000 TL,12000
Aliağa,3+1,14.000 TL,14000
Buca,1+1,14.500 TL,14500
Menemen,1+1,13.000 TL,13000
Konak,2+1,12.000 TL,12000
Menemen,1+1,13.500 TL,13500
Menemen,1+1,14.750 TL,14750
Aliağa,2+1,10.000 TL,10000
Buca,2+1,13.000 TL,13000
Menemen,1+1,12.500 TL,12500
Karabağlar,2+1,14.000 TL,14000
Bornova,3+1,10.000 TL,10000
Çeşme,3+1,10.000 TL,10000
Menemen,1+1,14.000 TL,14000
Konak,2+1,11.000 TL,11000
Menemen,1+1,14.000 TL,14000
Konak,Stüdyo (1+0),14.000 TL,14000
Buca,Stüdyo (1+0),11.500 TL,11500
Çiğli,2+1,13.500 TL,13500
Ödemiş,2+1,14.000 TL,14000
Torbalı,1+1,14.500 TL,14500
Çeşme,4+1,10.000 TL,10000
Buca,1+1,14.000 TL,14000
Torbalı,2+1,14.000 TL,14000
Selçuk,1+1,12.000 TL,12000
Çeşme,4+1,10.000 TL,10000
Buca,5+1,10.000 TL,10000
Çeşme,4+1,12.500 TL,12500
Bayraklı,2+1,12.500 TL,12500
Menemen,1+1,13.000 TL,13000
Menemen,1+1,13.000 TL,13000
Bornova,1+1,12.000 TL,12000
Konak,2+1,10.000 TL,10000
Torbalı,1+1,12.000 TL,12000
Bornova,1+1,13.000 TL,13000
Menemen,2+1,13.000 TL,13000
Ödemiş,3+1,13.000 TL,13000
Menemen,1+1,12.750 TL,12750
Karabağlar,1+1,10.000 TL,10000
Buca,2+1,10.000 TL,10000
Torbalı,2+1,14.000 TL,14000
Çeşme,3+1,10.000 TL,10000
Buca,1+1,14.999 TL,14999
Torbalı,2+1,14.500 TL,14500
Buca,2+0,13.000 TL,13000
Bergama,3+1,14.000 TL,14000
Bayraklı,1+1,13.000 TL,13000
Bornova,2+1,13.000 TL,13000
Buca,1+1,13.000 TL,13000
Buca,1+1,13.500 TL,13500
Gaziemir,2+1,12.000 TL,12000
Çeşme,3+1,10.000 TL,10000
Bornova,3+1,10.000 TL,10000
Karabağlar,1+1,13.000 TL,13000
Bornova,1+1,13.000 TL,13000
Buca,2+1,13.000 TL,13000
Karabağlar,2+1,12.000 TL,12000
Buca,1+1,10.000 TL,10000
Buca,2+0,14.000 TL,14000
Buca,1+1,13.500 TL,13500
Kiraz,2.5+1,14.000 TL,14000
Ödemiş,1+1,12.000 TL,12000
Buca,2+1,14.000 TL,14000
Bayraklı,1+1,14.000 TL,14000
Menemen,1+1,13.500 TL,13500
Menemen,1+1,14.000 TL,14000
Menemen,2+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Ödemiş,3+1,12.500 TL,12500
Dikili,5+2,10.000 TL,10000
Karabağlar,2+1,14.000 TL,14000
Dikili,4+1,10.000 TL,10000
Karabağlar,2+1,11.000 TL,11000
Bayraklı,4+1,12.500 TL,12500
Bornova,2+1,14.500 TL,14500
Menemen,1+1,14.500 TL,14500
Ödemiş,2+1,14.000 TL,14000
Buca,2+1,14.500 TL,14500
Menemen,1+1,14.500 TL,14500
Bayraklı,2+1,11.000 TL,11000
Bayraklı,1+1,14.000 TL,14000
Buca,Stüdyo (1+0),14.000 TL,14000
Menemen,1+1,13.000 TL,13000
Menemen,1+1,14.000 TL,14000
Menemen,1+1,14.500 TL,14500
Konak,2+1,12.500 TL,12500
Bayraklı,2+1,12.000 TL,12000
Bayraklı,1+1,10.000 TL,10000
Buca,2+1,14.000 TL,14000
Konak,3+1,14.000 TL,14000
Buca,3+1,13.000 TL,13000
Torbalı,1+1,14.000 TL,14000
Karabağlar,3+1,12.000 TL,12000
Buca,1+1,14.500 TL,14500
Menemen,1+1,13.500 TL,13500
Menemen,1+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Bornova,1+1,13.000 TL,13000
Buca,Stüdyo (1+0),14.500 TL,14500
Bornova,Stüdyo (1+0),12.500 TL,12500
Bornova,Stüdyo (1+0),12.000 TL,12000
Menemen,1+1,13.000 TL,13000
Buca,Stüdyo (1+0),13.000 TL,13000
Bayraklı,2+1,13.200 TL,13200
Menemen,1+1,14.000 TL,14000
Menemen,1+1,12.500 TL,12500
Buca,1+1,14.000 TL,14000
Bayraklı,2+1,13.500 TL,13500
Bayraklı,1+1,12.500 TL,12500
Menemen,1+1,14.000 TL,14000
Buca,1+1,14.000 TL,14000
Menemen,1+1,14.000 TL,14000
Menemen,1+1,13.500 TL,13500
Buca,2+1,14.000 TL,14000
Bornova,4+0,14.000 TL,14000
Buca,1+1,16.000 TL,16000
Menemen,1+1,16.000 TL,16000
Buca,1+1,16.000 TL,16000
Karabağlar,2+1,15.000 TL,15000
Bornova,2+1,15.000 TL,15000
Buca,1+1,15.000 TL,15000
Karabağlar,2+1,16.000 TL,16000
Buca,1+1,15.000 TL,15000
Buca,2+1,15.000 TL,15000
Buca,2+1,16.000 TL,16000
Karabağlar,1+1,15.000 TL,15000
Buca,3+1,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Bergama,3+1,15.000 TL,15000
Kemalpaşa,3+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Buca,2+1,15.000 TL,15000
Menemen,1+1,16.000 TL,16000
Bayraklı,2+1,15.000 TL,15000
Buca,1+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Torbalı,2+1,15.500 TL,15500
Buca,2+1,16.000 TL,16000
Buca,2+1,16.000 TL,16000
Buca,2+1,16.000 TL,16000
Ödemiş,2+1,15.000 TL,15000
Torbalı,1+1,16.000 TL,16000
Karşıyaka,1+1,16.000 TL,16000
Menemen,2+1,16.000 TL,16000
Menemen,1+1,15.000 TL,15000
Karabağlar,2+1,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Kiraz,4+1,15.000 TL,15000
Buca,1+1,15.500 TL,15500
Buca,Stüdyo (1+0),15.550 TL,15550
Buca,1+1,15.000 TL,15000
Ödemiş,2+1,16.000 TL,16000
Buca,1+1,16.000 TL,16000
Karabağlar,3+1,15.000 TL,15000
Menemen,2+1,15.500 TL,15500
Menemen,1+1,15.250 TL,15250
Buca,1+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Bergama,1+1,15.000 TL,15000
Ödemiş,2+1,16.000 TL,16000
Bayraklı,1+1,15.000 TL,15000
Balçova,Stüdyo (1+0),16.000 TL,16000
Karşıyaka,1+1,15.000 TL,15000
Menemen,1+1,16.000 TL,16000
Ödemiş,2+1,16.000 TL,16000
Karabağlar,1+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Buca,1+1,15.000 TL,15000
Bornova,2+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Buca,1+1,15.000 TL,15000
Buca,1+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Bayraklı,3+1,16.000 TL,16000
Karabağlar,2+1,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Buca,1+1,16.000 TL,16000
Menemen,1+1,15.500 TL,15500
Ödemiş,3+1,15.000 TL,15000
Bayraklı,1+1,15.000 TL,15000
Buca,1+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Bornova,2+1,15.000 TL,15000
Bornova,3+1,15.000 TL,15000
Buca,Stüdyo (1+0),16.000 TL,16000
Bergama,1+1,16.000 TL,16000
Bergama,3+1,16.000 TL,16000
Bornova,Stüdyo (1+0),16.000 TL,16000
Bayraklı,2+1,16.000 TL,16000
Bayındır,2+1,15.000 TL,15000
Bayraklı,3+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Seferihisar,1+1,15.500 TL,15500
Menemen,1+1,15.000 TL,15000
Bayraklı,1+1,16.000 TL,16000
Bornova,1+1,15.000 TL,15000
Bornova,2+1,16.000 TL,16000
Buca,2+1,15.000 TL,15000
Gaziemir,2+1,15.500 TL,15500
Tire,3+1,16.000 TL,16000
Torbalı,2+1,16.000 TL,16000
Menemen,1+1,15.500 TL,15500
Çiğli,Stüdyo (1+0),15.000 TL,15000
Konak,2+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Tire,2+1,15.000 TL,15000
Buca,1+1,15.000 TL,15000
Menderes,2+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Karabağlar,3+1,15.000 TL,15000
Torbalı,1+1,16.000 TL,16000
Seferihisar,1+1,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Menemen,1+1,16.000 TL,16000
Menemen,2+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Buca,2+1,15.000 TL,15000
Buca,1+1,15.500 TL,15500
Buca,2+1,16.000 TL,16000
Buca,1+1,15.500 TL,15500
Bornova,2+1,15.000 TL,15000
Buca,1+1,15.000 TL,15000
Buca,3+1,16.000 TL,16000
Torbalı,2+1,15.000 TL,15000
Buca,Stüdyo (1+0),15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Torbalı,1+1,15.500 TL,15500
Menemen,1+1,16.000 TL,16000
Konak,2+1,16.000 TL,16000
Menemen,1+1,15.000 TL,15000
Bayraklı,3+1,15.000 TL,15000
Menemen,1+1,16.000 TL,16000
Torbalı,2+1,15.000 TL,15000
Buca,2+1,16.000 TL,16000
Menemen,1+1,15.000 TL,15000
Bergama,3+1,16.000 TL,16000
Bayraklı,1+1,15.500 TL,15500
Buca,1+1,16.000 TL,16000
Buca,1+1,15.000 TL,15000
Menemen,1+1,16.000 TL,16000
Torbalı,1+1,16.000 TL,16000
Buca,Stüdyo (1+0),15.000 TL,15000
Buca,1+1,16.000 TL,16000
Buca,1+1,15.000 TL,15000
Buca,2+1,15.000 TL,15000
Ödemiş,3+1,15.000 TL,15000
Buca,1+1,15.000 TL,15000
Menemen,1+1,16.000 TL,16000
Konak,3+1,16.000 TL,16000
Buca,3+1,15.000 TL,15000
Bayraklı,1+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Torbalı,1+1,15.000 TL,15000
Tire,2+1,15.750 TL,15750
Torbalı,2+1,15.000 TL,15000
Menemen,1+1,16.000 TL,16000
Buca,1+1,16.000 TL,16000
Bornova,2+1,15.000 TL,15000
Ödemiş,3+1,15.500 TL,15500
Buca,1+1,15.000 TL,15000
Buca,2+0,16.000 TL,16000
Menderes,2+1,16.000 TL,16000
Buca,1+1,16.000 TL,16000
Menemen,3+1,16.000 TL,16000
Torbalı,3+1,15.500 TL,15500
Bayraklı,3+1,15.000 TL,15000
Buca,1+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Bornova,2+1,16.000 TL,16000
Torbalı,1+1,16.000 TL,16000
Menemen,1+1,16.000 TL,16000
Buca,1+1,15.000 TL,15000
Çiğli,2+1,15.000 TL,15000
Konak,Stüdyo (1+0),15.000 TL,15000
Bornova,2+1,15.000 TL,15000
Karabağlar,2+1,15.000 TL,15000
Bayraklı,1+1,15.500 TL,15500
Gaziemir,Stüdyo (1+0),15.000 TL,15000
Bayraklı,1+1,16.000 TL,16000
Buca,1+1,16.000 TL,16000
Buca,1+1,15.500 TL,15500
Menemen,Stüdyo (1+0),15.000 TL,15000
Bayraklı,2+1,16.000 TL,16000
Buca,1+1,15.000 TL,15000
Menemen,1+1,16.000 TL,16000
Gaziemir,2+1,15.500 TL,15500
Menemen,1+1,15.000 TL,15000
Bornova,1+1,15.000 TL,15000
Çiğli,4+1,16.000 TL,16000
Torbalı,3+1,15.000 TL,15000
Menemen,1+1,15.500 TL,15500
Tire,3+1,16.000 TL,16000
Menemen,1+1,16.000 TL,16000
Karabağlar,2+1,15.500 TL,15500
Torbalı,1+1,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Menemen,1+1,16.000 TL,16000
Buca,1+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Buca,1+1,16.000 TL,16000
Menemen,1+1,15.500 TL,15500
Ödemiş,3+1,16.000 TL,16000
Gaziemir,2+1,15.000 TL,15000
Menemen,1+1,16.000 TL,16000
Buca,2+1,16.000 TL,16000
Buca,2+1,15.500 TL,15500
Bornova,2+1,15.000 TL,15000
Bornova,1+1,16.000 TL,16000
Torbalı,2+1,15.750 TL,15750
Bayraklı,1+1,15.000 TL,15000
Bayındır,2+1,15.000 TL,15000
Bornova,Stüdyo (1+0),15.000 TL,15000
Buca,1+1,16.000 TL,16000
Menemen,1+1,15.000 TL,15000
Torbalı,2+1,15.000 TL,15000
Menemen,1+1,15.000 TL,15000
Bergama,3+1,16.000 TL,16000
Karabağlar,3+1,15.000 TL,15000
Ödemiş,2+1,15.000 TL,15000
Torbalı,1+1,15.000 TL,15000
Tire,3+1,15.000 TL,15000
